source,target,type
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/31166,word
MS1.1,http://www.dil.ie/3,word
MS1.1,http://www.dil.ie/17788,word
MS1.1,http://www.dil.ie/8,word
MS1.1,http://www.dil.ie/27721,word
MS1.1,http://www.dil.ie/35364,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/35364,word
MS1.1,http://www.dil.ie/4927,word
MS1.1,http://www.dil.ie/3902,word
MS1.1,http://www.dil.ie/3,word
MS1.1,http://www.dil.ie/8622,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/29104,word
MS1.1,http://www.dil.ie/19325,word
MS1.1,http://www.dil.ie/35364,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/26891,word
MS1.1,http://www.dil.ie/9786,word
MS1.1,http://www.dil.ie/6579,word
MS1.1,http://www.dil.ie/33364,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/33364,word
MS1.1,http://www.dil.ie/17788,word
MS1.1,http://www.dil.ie/8,word
MS1.1,http://www.dil.ie/3,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/978,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/17216,word
MS1.1,http://www.dil.ie/24329,word
MS1.1,http://www.dil.ie/26931,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/35364,word
MS1.1,http://www.dil.ie/3902,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/9788,word
MS1.1,http://www.dil.ie/17216,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/33147,word
MS1.1,http://www.dil.ie/17216,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/35364,word
MS1.1,http://www.dil.ie/25119,word
MS1.1,http://www.dil.ie/31166,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/26931,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/35364,word
MS1.1,http://www.dil.ie/29104,word
MS1.1,http://www.dil.ie/200,word
MS1.1,http://www.dil.ie/31164,word
MS1.1,http://www.dil.ie/26931,word
MS1.1,http://www.dil.ie/37567,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/40447,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/9788,word
MS1.1,http://www.dil.ie/17752,word
MS1.1,http://www.dil.ie/29233,word
MS1.1,http://www.dil.ie/28194,word
MS1.1,http://www.dil.ie/31166,word
MS1.1,http://www.dil.ie/9788,word
MS1.1,http://www.dil.ie/17788,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/33484,word
MS1.1,http://www.dil.ie/17098,word
MS1.1,http://www.dil.ie/17216,word
MS1.1,http://www.dil.ie/26891,word
MS1.1,http://www.dil.ie/17096,word
MS1.1,http://www.dil.ie/8,word
