source,target,type,relationship
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/31166,directed,word
MS1.1,http://www.dil.ie/3,directed,word
MS1.1,http://www.dil.ie/14451,directed,word
MS1.1,http://www.dil.ie/17788,directed,word
MS1.1,http://www.dil.ie/8,directed,word
MS1.1,http://www.dil.ie/27721,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/22888,directed,word
MS1.1,http://www.dil.ie/15847,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/12189,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/13245,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/4927,directed,word
MS1.1,http://www.dil.ie/32580,directed,word
MS1.1,http://www.dil.ie/3902,directed,word
MS1.1,http://www.dil.ie/3,directed,word
MS1.1,http://www.dil.ie/8622,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/29104,directed,word
MS1.1,http://www.dil.ie/19325,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/17889,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/8362,directed,word
MS1.1,http://www.dil.ie/37567,directed,word
MS1.1,http://www.dil.ie/26891,directed,word
MS1.1,http://www.dil.ie/36041,directed,word
MS1.1,http://www.dil.ie/9786,directed,word
MS1.1,http://www.dil.ie/6579,directed,word
MS1.1,http://www.dil.ie/33364,directed,word
MS1.1,http://www.dil.ie/32580,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/33364,directed,word
MS1.1,http://www.dil.ie/41302,directed,word
MS1.1,http://www.dil.ie/17788,directed,word
MS1.1,http://www.dil.ie/8,directed,word
MS1.1,http://www.dil.ie/3,directed,word
MS1.1,http://www.dil.ie/2724,directed,word
MS1.1,http://www.dil.ie/37567,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/8362,directed,word
MS1.1,http://www.dil.ie/978,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/17098,directed,word
MS1.1,http://www.dil.ie/17216,directed,word
MS1.1,http://www.dil.ie/24329,directed,word
MS1.1,http://www.dil.ie/37356,directed,word
MS1.1,http://www.dil.ie/26931,directed,word
MS1.1,http://www.dil.ie/23128,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/34833,directed,word
MS1.1,http://www.dil.ie/15847,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/17098,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/18526,directed,word
MS1.1,http://www.dil.ie/3902,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/32580,directed,word
MS1.1,http://www.dil.ie/26892,directed,word
MS1.1,http://www.dil.ie/9788,directed,word
MS1.1,http://www.dil.ie/14711,directed,word
MS1.1,http://www.dil.ie/17216,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/33147,directed,word
MS1.1,http://www.dil.ie/17216,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/25119,directed,word
MS1.1,http://www.dil.ie/31166,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/25293,directed,word
MS1.1,http://www.dil.ie/26931,directed,word
MS1.1,http://www.dil.ie/20198,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/9416,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/29104,directed,word
MS1.1,http://www.dil.ie/31569,directed,word
MS1.1,http://www.dil.ie/200,directed,word
MS1.1,http://www.dil.ie/31164,directed,word
MS1.1,http://www.dil.ie/5512,directed,word
MS1.1,http://www.dil.ie/26931,directed,word
MS1.1,http://www.dil.ie/37567,directed,word
MS1.1,http://www.dil.ie/17098,directed,word
MS1.1,http://www.dil.ie/40447,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/32580,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/4928,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/9416,directed,word
MS1.1,http://www.dil.ie/9788,directed,word
MS1.1,http://www.dil.ie/17752,directed,word
MS1.1,http://www.dil.ie/2324,directed,word
MS1.1,http://www.dil.ie/29233,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/31166,directed,word
MS1.1,http://www.dil.ie/9788,directed,word
MS1.1,http://www.dil.ie/17788,directed,word
MS1.1,http://www.dil.ie/37822,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/17098,directed,word
MS1.1,http://www.dil.ie/17216,directed,word
MS1.1,http://www.dil.ie/26891,directed,word
MS1.1,http://www.dil.ie/27181,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/8,directed,word
MS1.1,http://www.dil.ie/12189,directed,word
MS1.1,http://www.dil.ie/17098,directed,word
MS1.1,http://www.dil.ie/17752,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/2324,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/17788,directed,word
MS1.1,http://www.dil.ie/37822,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/26931,directed,word
MS1.1,http://www.dil.ie/37567,directed,word
MS1.1,http://www.dil.ie/17098,directed,word
MS1.1,http://www.dil.ie/17216,directed,word
MS1.1,http://www.dil.ie/17096,directed,word
MS1.1,http://www.dil.ie/28194,directed,word
MS1.1,http://www.dil.ie/8362,directed,word
MS1.1,http://www.dil.ie/37567,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
MS1.1,http://www.dil.ie/35819,directed,word
MS1.1,http://www.dil.ie/5659,directed,word
MS1.1,http://www.dil.ie/33484,directed,word
MS1.1,http://www.dil.ie/22333,directed,word
MS1.1,http://www.dil.ie/35364,directed,word
